Series Name,Series Code,Country Name,Country Code,2018 [YR2018],2019 [YR2019]
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Afghanistan,AFG,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Albania,ALB,31.5719544148007,31.3042698874727
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Algeria,DZA,25.8611508241538,22.7144042064991
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,American Samoa,ASM,68.2316118935837,61.6692426584235
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Andorra,AND,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Angola,AGO,40.8362898299819,40.7907550532833
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Antigua and Barbuda,ATG,64.5720629235058,71.397907414244
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Argentina,ARG,14.4366857499034,17.9248783778462
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Armenia,ARM,39.3928940286073,41.3508013620849
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Aruba,ABW,72.2526488751745,73.2347164278648
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Australia,AUS,21.8734041196439,24.1515391092117
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Austria,AUT,55.4622191178234,55.7572063557543
